country,code,date,variable,value
Afghanistan,AFG,2020-02,RCF,0.6818461538461539
Afghanistan,AFG,2020-02,TP,5.940307692307693
Afghanistan,AFG,2020-02,KTR,2.850461538461538
Afghanistan,AFG,2020-02,SAP,5.324999999999999
Afghanistan,AFG,2020-03,RCF,-5.313322580645161
Afghanistan,AFG,2020-03,TP,-4.5483548387096775
Afghanistan,AFG,2020-03,KTR,-1.2166451612903224
Afghanistan,AFG,2020-03,SAP,2.474612903225806
Afghanistan,AFG,2020-04,RCF,-43.5095
Afghanistan,AFG,2020-04,TP,-45.45233333333333
Afghanistan,AFG,2020-04,KTR,-34.31426666666666
Afghanistan,AFG,2020-04,SAP,-24.395300000000002
Afghanistan,AFG,2020-05,RCF,-41.75394444444444
Afghanistan,AFG,2020-05,TP,-45.03966666666666
Afghanistan,AFG,2020-05,KTR,-28.674611111111112
Afghanistan,AFG,2020-05,SAP,-19.579388888888886
Afghanistan,AFG,2020-07,RCF,-8.448413793103448
Afghanistan,AFG,2020-07,TP,-14.551724137931034
Afghanistan,AFG,2020-07,KTR,-11.556689655172415
Afghanistan,AFG,2020-07,SAP,16.024620689655173
Afghanistan,AFG,2020-08,RCF,-6.776000000000001
Afghanistan,AFG,2020-08,TP,-8.22658064516129
Afghanistan,AFG,2020-08,KTR,-15.631322580645163
Afghanistan,AFG,2020-08,SAP,15.14965
Afghanistan,AFG,2020-09,RCF,43.29727777777778
Afghanistan,AFG,2020-09,TP,-10.034166666666666
Afghanistan,AFG,2020-09,KTR,-2.728533333333333
Afghanistan,AFG,2020-09,SAP,48.035
Afghanistan,AFG,2020-10,RCF,39.046129032258065
Afghanistan,AFG,2020-10,TP,-7.023129032258065
Afghanistan,AFG,2020-10,KTR,-2.4608387096774194
Afghanistan,AFG,2020-10,SAP,49.70048387096774
Afghanistan,AFG,2020-11,RCF,34.76186666666667
Afghanistan,AFG,2020-11,TP,-9.423766666666667
Afghanistan,AFG,2020-11,KTR,-1.5143666666666666
Afghanistan,AFG,2020-11,SAP,46.90476666666667
Afghanistan,AFG,2020-12,RCF,36.110516129032256
Afghanistan,AFG,2020-12,TP,-2.0461290322580643
Afghanistan,AFG,2020-12,KTR,0.7695483870967741
Afghanistan,AFG,2020-12,SAP,52.60383870967742
Afghanistan,AFG,2021-01,RCF,32.225806451612904
Afghanistan,AFG,2021-01,TP,-10.635935483870968
Afghanistan,AFG,2021-01,KTR,-0.553
Afghanistan,AFG,2021-01,SAP,42.953870967741935
Afghanistan,AFG,2021-02,RCF,28.75507142857143
Afghanistan,AFG,2021-02,TP,-17.3215
Afghanistan,AFG,2021-02,KTR,-7.209178571428572
Afghanistan,AFG,2021-02,SAP,45.71932142857143
Afghanistan,AFG,2021-03,RCF,39.92167741935484
Afghanistan,AFG,2021-03,TP,-9.46541935483871
Afghanistan,AFG,2021-03,KTR,-6.437741935483871
Afghanistan,AFG,2021-03,SAP,66.7696129032258
Afghanistan,AFG,2021-04,RCF,36.12376666666667
Afghanistan,AFG,2021-04,TP,-3.495233333333333
Afghanistan,AFG,2021-04,KTR,-0.6237666666666667
Afghanistan,AFG,2021-04,SAP,68.12383333333334
Afghanistan,AFG,2021-05,RCF,46.94922580645161
Afghanistan,AFG,2021-05,TP,1.1198387096774194
Afghanistan,AFG,2021-05,KTR,-6.046064516129032
Afghanistan,AFG,2021-05,SAP,84.76032258064517
Afghanistan,AFG,2021-06,RCF,48.31903333333333
Afghanistan,AFG,2021-06,TP,-8.604733333333334
Afghanistan,AFG,2021-06,KTR,-2.5904000000000003
Afghanistan,AFG,2021-06,SAP,85.30003333333335
Afghanistan,AFG,2021-07,RCF,45.66816129032258
Afghanistan,AFG,2021-07,TP,-11.695838709677421
Afghanistan,AFG,2021-07,KTR,-12.801806451612903
Afghanistan,AFG,2021-07,SAP,80.95851612903226
Afghanistan,AFG,2021-08,RCF,40.599064516129026
Afghanistan,AFG,2021-08,TP,-2.861741935483871
Afghanistan,AFG,2021-08,KTR,-19.456258064516128
Afghanistan,AFG,2021-08,SAP,72.22577419354838
Afghanistan,AFG,2021-09,RCF,32.76193333333333
Afghanistan,AFG,2021-09,TP,-28.104766666666666
Afghanistan,AFG,2021-09,KTR,-22.509533333333334
Afghanistan,AFG,2021-09,SAP,72.4904
Afghanistan,AFG,2021-10,RCF,37.37790322580645
Afghanistan,AFG,2021-10,TP,-26.67277419354839
Afghanistan,AFG,2021-10,KTR,-18.645193548387095
Afghanistan,AFG,2021-10,SAP,79.26732258064516
Afghanistan,AFG,2021-11,RCF,41.3143
Afghanistan,AFG,2021-11,TP,-26.99996666666667
Afghanistan,AFG,2021-11,KTR,-14.066633333333334
Afghanistan,AFG,2021-11,SAP,86.09513333333332
Afghanistan,AFG,2021-12,RCF,40.073677419354844
Afghanistan,AFG,2021-12,TP,-29.350258064516126
Afghanistan,AFG,2021-12,KTR,-4.654354838709677
Afghanistan,AFG,2021-12,SAP,83.189
Afghanistan,AFG,2022-01,RCF,44.682
Afghanistan,AFG,2022-01,TP,-27.497612903225807
Afghanistan,AFG,2022-01,KTR,3.9861935483870967
Afghanistan,AFG,2022-01,SAP,90.364
Afghanistan,AFG,2022-02,RCF,53.29089285714286
Afghanistan,AFG,2022-02,TP,-22.147928571428572
Afghanistan,AFG,2022-02,KTR,9.30107142857143
Afghanistan,AFG,2022-02,SAP,104.33167857142857
Afghanistan,AFG,2022-03,RCF,89.39638709677419
Afghanistan,AFG,2022-03,TP,4.866387096774194
Afghanistan,AFG,2022-03,KTR,22.764935483870968
Afghanistan,AFG,2022-03,SAP,162.47012903225806
Afghanistan,AFG,2022-04,RCF,81.00946666666667
Afghanistan,AFG,2022-04,TP,6.866633333333334
Afghanistan,AFG,2022-04,KTR,28.76196666666667
Afghanistan,AFG,2022-04,SAP,164.29516666666666
Afghanistan,AFG,2022-05,RCF,89.35029032258065
Afghanistan,AFG,2022-05,TP,-0.49306451612903224
Afghanistan,AFG,2022-05,KTR,15.806451612903226
Afghanistan,AFG,2022-05,SAP,166.4653548387097
